ID,Colour 1,Colour 2,Colour 3,Episode,Frame
bliss_palette_0,black,black,black,Bliss,0
bliss_palette_1,brown,beige,brown,Bliss,1
bliss_palette_2,brown,brown,beige,Bliss,2
bliss_palette_3,beige,brown,brown,Bliss,3
bliss_palette_4,brown,brown,brown,Bliss,4
bliss_palette_5,brown,beige,brown,Bliss,5
bliss_palette_6,brown,white,beige,Bliss,6
bliss_palette_7,brown,brown,grey,Bliss,7
bliss_palette_8,brown,grey,beige,Bliss,8
bliss_palette_9,brown,brown,grey,Bliss,9
bliss_palette_10,brown,brown,brown,Bliss,10
bliss_palette_11,pink,grey,pink,Bliss,11
bliss_palette_12,pink,grey,pink,Bliss,12
bliss_palette_13,pink,grey,pink,Bliss,13
bliss_palette_14,pink,pink,yellow,Bliss,14
bliss_palette_15,yellow,orange,pink,Bliss,15
bliss_palette_16,pink,pink,pink,Bliss,16
bliss_palette_17,pink,pink,orange,Bliss,17
bliss_palette_18,grey,pink,pink,Bliss,18
bliss_palette_19,brown,brown,brown,Bliss,19
bliss_palette_20,black,grey,green,Bliss,20
bliss_palette_21,black,green,grey,Bliss,21
bliss_palette_22,green,pink,black,Bliss,22
bliss_palette_23,green,pink,black,Bliss,23
bliss_palette_24,green,pink,black,Bliss,24
bliss_palette_25,black,pink,green,Bliss,25
bliss_palette_26,black,pink,green,Bliss,26
bliss_palette_27,black,grey,green,Bliss,27
bliss_palette_28,black,green,green,Bliss,28
bliss_palette_29,black,green,green,Bliss,29
bliss_palette_30,black,green,green,Bliss,30
bliss_palette_31,green,green,green,Bliss,31
bliss_palette_32,green,green,green,Bliss,32
bliss_palette_33,green,green,green,Bliss,33
bliss_palette_34,green,green,green,Bliss,34
bliss_palette_35,purple,white,black,Bliss,35
bliss_palette_36,black,white,purple,Bliss,36
bliss_palette_37,black,purple,white,Bliss,37
bliss_palette_38,purple,grey,black,Bliss,38
bliss_palette_39,purple,maroon,grey,Bliss,39
bliss_palette_40,black,purple,white,Bliss,40
bliss_palette_41,purple,lilac,maroon,Bliss,41
bliss_palette_42,purple,black,white,Bliss,42
bliss_palette_43,purple,grey,maroon,Bliss,43
bliss_palette_44,purple,white,black,Bliss,44
bliss_palette_45,black,white,purple,Bliss,45
bliss_palette_46,black,purple,white,Bliss,46
bliss_palette_47,black,white,purple,Bliss,47
bliss_palette_48,purple,white,black,Bliss,48
bliss_palette_49,purple,black,white,Bliss,49
bliss_palette_50,white,black,purple,Bliss,50
bliss_palette_51,beige,black,yellow,Bliss,51
bliss_palette_52,beige,brown,brown,Bliss,52
bliss_palette_53,brown,brown,beige,Bliss,53
bliss_palette_54,purple,beige,black,Bliss,54
bliss_palette_55,beige,green,brown,Bliss,55
bliss_palette_56,brown,brown,brown,Bliss,56
bliss_palette_57,grey,blue,black,Bliss,57
bliss_palette_58,grey,grey,green,Bliss,58
bliss_palette_59,black ,pink,brown,Bliss,59
bliss_palette_60,green,blue,blue,Bliss,60
bliss_palette_61,white,maroon,red,Bliss,61
bliss_palette_62,green,blue,black,Bliss,62
bliss_palette_63,black,blue,green,Bliss,63
bliss_palette_64,grey,brown,brown,Bliss,64
bliss_palette_65,green,grey,brown,Bliss,65
bliss_palette_66,black,blue,brown,Bliss,66
bliss_palette_67,black,brown,blue,Bliss,67
bliss_palette_68,purple,blue,blue,Bliss,68
bliss_palette_69,blue ,blue,blue,Bliss,69
bliss_palette_70,blue ,blue,blue,Bliss,70
bliss_palette_71,purple,blue,blue,Bliss,71
bliss_palette_72,lilac,grey,purple,Bliss,72
bliss_palette_73,purple,black,lilac,Bliss,73
bliss_palette_74,green,purple,green,Bliss,74
bliss_palette_75,beige,yellow,brown,Bliss,75
bliss_palette_76,orange,black,beige,Bliss,76
bliss_palette_77,beige,purple,yellow,Bliss,77
bliss_palette_78,purple,yellow,pink,Bliss,78
bliss_palette_79,beige,yellow,pink,Bliss,79
bliss_palette_80,maroon,yellow,orange,Bliss,80
bliss_palette_81,yellow,maroon,purple,Bliss,81
bliss_palette_82,beige,purple,yellow,Bliss,82
bliss_palette_83,beige,maroon,yellow,Bliss,83
bliss_palette_84,maroon,pink,yellow,Bliss,84
bliss_palette_85,green,maroon,yellow,Bliss,85
bliss_palette_86,orange,brown,yellow,Bliss,86
bliss_palette_87,green,yellow,maroon,Bliss,87
bliss_palette_88,yellow,yellow,pink,Bliss,88
bliss_palette_89,maroon,grey,brown,Bliss,89
bliss_palette_90,grey,black,red,Bliss,90
bliss_palette_91,grey,brown,brown,Bliss,91
bliss_palette_92,grey,brown,brown,Bliss,92
bliss_palette_93,gery,black,brown,Bliss,93
bliss_palette_94,grey,grey,red,Bliss,94
bliss_palette_95,grey,maroon,black,Bliss,95
bliss_palette_96,gret,red,brown,Bliss,96
bliss_palette_97,red,brown,black,Bliss,97
bliss_palette_98,brown,grey,black,Bliss,98
bliss_palette_99,brown,brown,brown,Bliss,99
bliss_palette_100,green,grey,maroon,Bliss,100
bliss_palette_101,green,grey,red,Bliss,101
bliss_palette_102,black,beige,brown,Bliss,102
bliss_palette_103,brown,grey,black,Bliss,103
bliss_palette_104,grey,brown,brown,Bliss,104
bliss_palette_105,grey,black,brown,Bliss,105
bliss_palette_106,brown,brown,grey,Bliss,106
bliss_palette_107,black,grey,brown,Bliss,107
bliss_palette_108,black,grey,brown,Bliss,108
bliss_palette_109,brown,brown,grey,Bliss,109
bliss_palette_110,black,grey,brown,Bliss,110
bliss_palette_111,grey,brown,brown,Bliss,111
bliss_palette_112,brown,brown,black,Bliss,112
bliss_palette_113,grey,brown,black,Bliss,113
bliss_palette_114,brown,brown,brown,Bliss,114
bliss_palette_115,brown,brown,brown,Bliss,115
bliss_palette_116,brown,brown,brown,Bliss,116
bliss_palette_117,brown,brown,brown,Bliss,117
bliss_palette_118,black,grey,blue,Bliss,118
bliss_palette_119,black,grey,brown,Bliss,119
bliss_palette_120,black,red,orange,Bliss,120
bliss_palette_121,black,orange,red,Bliss,121
bliss_palette_122,black,orange,red,Bliss,122
bliss_palette_123,black,orange,red,Bliss,123
bliss_palette_124,black,maroon,orange,Bliss,124
bliss_palette_125,black,orange,maroon,Bliss,125
bliss_palette_126,black,orange,brown,Bliss,126
bliss_palette_127,black,brown,orange,Bliss,127
bliss_palette_128,black,orange,brown,Bliss,128
bliss_palette_129,black,brown,white,Bliss,129
bliss_palette_130,blue ,green,grey,Bliss,130
conflict_palette_0,black,black,black,Conflict,0
conflict_palette_1,black,brown,brown,Conflict,1
conflict_palette_2,brown,brown,black,Conflict,2
conflict_palette_3,black,pink,brown,Conflict,3
conflict_palette_4,black,brown,brown,Conflict,4
conflict_palette_5,grey,black,brown,Conflict,5
conflict_palette_6,brown,black,pink,Conflict,6
conflict_palette_7,black,blue,yellow,Conflict,7
conflict_palette_8,black,purple,yellow,Conflict,8
conflict_palette_9,black,lilac,purple,Conflict,9
conflict_palette_10,red,black,blue,Conflict,10
conflict_palette_11,red,blue,black,Conflict,11
conflict_palette_12,beige,blue,black,Conflict,12
conflict_palette_13,beige,purple,green,Conflict,13
conflict_palette_14,green,purple,beige,Conflict,14
conflict_palette_15,blue ,blue,purple,Conflict,15
conflict_palette_16,green,blue,green,Conflict,16
conflict_palette_17,green,yellow,green,Conflict,17
conflict_palette_18,green,green,green,Conflict,18
conflict_palette_19,brown,green,green,Conflict,19
conflict_palette_20,green,yellow,green,Conflict,20
conflict_palette_21,green,grey,black,Conflict,21
conflict_palette_22,green,green,grey,Conflict,22
conflict_palette_23,green,green,green,Conflict,23
conflict_palette_24,green,grey,green,Conflict,24
conflict_palette_25,green,green,green,Conflict,25
conflict_palette_26,brown,brown,orange,Conflict,26
conflict_palette_27,brown,blue,green,Conflict,27
conflict_palette_28,brown,brown,beige,Conflict,28
conflict_palette_29,blue ,green,brown,Conflict,29
conflict_palette_30,green,grey,black,Conflict,30
conflict_palette_31,green,black,green,Conflict,31
conflict_palette_32,black,grey,purple,Conflict,32
conflict_palette_33,red,green,blue,Conflict,33
conflict_palette_34,black,brown,green,Conflict,34
conflict_palette_35,black,green,purple,Conflict,35
conflict_palette_36,brown,black,green,Conflict,36
conflict_palette_37,brown,green,purple,Conflict,37
conflict_palette_38,green,green,green,Conflict,38
conflict_palette_39,green,red,green,Conflict,39
conflict_palette_40,red,green,blue,Conflict,40
conflict_palette_41,green,purple,blue,Conflict,41
conflict_palette_42,pink,green,black,Conflict,42
conflict_palette_43,green,pink,black,Conflict,43
conflict_palette_44,black,brown,green,Conflict,44
conflict_palette_45,green,black,brown,Conflict,45
conflict_palette_46,black,red,blue,Conflict,46
conflict_palette_47,black,red,blue,Conflict,47
