,Category,Frame,bpm,bass volume,low midrange volume,high midrange volume,treble volume,average overall loudness,dissonance,timbre,percussiveness,proiminence of pitches,cleanliness of timbre,brightness (normalized),brightness (unnormalized),richness of timbre,average instantaneous loudness,average segment loudness,strength of chords,percentage of frames silent,pitch max to min ratio,pitch ambiguity,disparity b/w highs and lows,noisiness (spectral spread),frequency of 85th percentile,volume variation between frequency levels 1,volume variation between frequency levels 2,strongest frequency,max to mean ratio of volume
0,Coping,0,103,0.001735343,0.00116992,0.000891465,0.000517725,0.001463753,0.488462478,0.030406023,0.164193613,0.661848239,0.135304211,3671.581918,5.97872763,6.018518519,-67.41319309,-29.75760942,0.41748724,0.791666667,6.831147353,2.311590165,0.954757062,11548236.36,5139.257813,0.004099927,8.268922265,0.230763718,11.4836072
1,Coping,1,104,0.019129864,0.006996371,0.001789233,0.000393342,0.004066972,0.48073342,0.09265527,0.045532794,0.566061725,0.211384005,1224.4143,8.731637971,13.94418605,-26.76247009,-26.23507011,0.600113365,0.023255814,9.256066179,2.76156744,1.289965601,4469414.412,811.851835,0.027587207,7.741605206,0.348847134,15.60580936
2,Coping,2,104,0.022048895,0.007432545,0.001745925,0.000514255,0.004184727,0.482907634,0.100665107,0.050658612,0.554733306,0.207596272,1426.348789,9.638852304,13.84186047,-26.79732746,-26.26143288,0.535560573,0.018604651,9.638349927,2.794344468,1.189854805,4481680.614,1050.519849,0.030749681,7.799083843,0.314332745,16.13681222
3,Coping,3,104,0.022124028,0.007176781,0.002073886,0.000667313,0.004266883,0.484224946,0.100592932,0.052960431,0.545403567,0.203548277,1560.694514,11.06557839,14.94907407,-26.54407338,-26.40267049,0.454920349,0.027777778,9.048986479,2.88460137,1.152443172,4470896.473,1111.950684,0.030823698,7.850339784,0.286442322,16.37518521
4,Coping,4,103,0.024716665,0.004034469,0.00143681,0.000192412,0.003547533,0.486453812,0.090496015,0.055207576,0.544580548,0.188802868,1732.738161,6.939795809,11.75348837,-27.67353626,-25.82075947,0.53410388,0.009302326,9.869887288,2.736046907,1.219274671,4161838.037,1303.209484,0.029254644,7.868261051,0.245544952,16.54085968
5,Coping,5,154,0.036531469,0.005050643,0.001655627,0.000205338,0.004194265,0.483816566,0.111788738,0.051994004,0.56525812,0.193513766,1519.027241,8.578565483,13.48372093,-26.21605133,-26.2391671,0.605540864,0.004651163,9.184459568,2.830585842,1.269319453,4013208.567,1288.186319,0.042225926,7.798032938,0.310908025,15.97837524
6,Coping,6,90,0.008754371,0.006505318,0.00179087,0.000570174,0.003965379,0.480117728,0.078148005,0.05243372,0.556238949,0.191361714,1218.165014,9.134319748,13.23148148,-27.9220525,-27.24701763,0.55026462,0,9.772738002,2.736627004,1.103687891,5147474.434,824.8413086,0.017094221,7.86395618,0.432308127,15.92266465
7,Coping,7,90,0.034434597,0.015053947,0.000138216,2.94E-05,0.006399371,0.4511545,0.040544758,0.015302507,0.542566792,0.546214935,417.6136914,6.398515207,5.186046512,-25.37013653,-24.35699165,0.426519702,0.009302326,11.57991905,2.101792195,7.655753888,2019923.584,295.3554233,0.048069555,5.521572098,0.405694177,16.29186145
8,Coping,8,90,0.031680557,0.013040981,6.95E-06,2.93E-08,0.006243434,0.361600597,0.046928644,0.005128089,0.553578396,0.799182766,173.758168,4.818445098,3.381395349,-25.46217381,-24.6559705,0.369879809,0,12.33694581,2.007254154,16.60548054,632667.4056,182.7818405,0.041760799,4.267506592,0.343818488,16.4941797
9,Coping,9,77,0.032322001,0.022602734,0.000183413,8.16E-07,0.007115808,0.41203791,0.025038834,0.007475676,0.625733775,0.68440319,221.793663,8.257452823,6.402777778,-23.93447437,-24.23224567,0.426862998,0,11.95267935,2.029979718,14.24936353,794490.5445,242.5476074,0.052482353,4.716774114,0.621503165,14.02922061
