,Category,Frame,bpm,bass volume,low midrange volume,high midrange volume,treble volume,average overall loudness,dissonance,timbre,percussiveness,proiminence of pitches,cleanliness of timbre,brightness (normalized),brightness (unnormalized),richness of timbre,average instantaneous loudness,average segment loudness,strength of chords,percentage of frames silent,pitch max to min ratio,pitch ambiguity,disparity b/w highs and lows,noisiness (spectral spread),frequency of 85th percentile,volume variation between frequency levels 1,volume variation between frequency levels 2,strongest frequency,max to mean ratio of volume
0,Coping,0,103.0,0.0017353431445690098,0.0011699197252295244,0.0008914653134266113,0.0005177251973205876,0.001463753423341758,0.48846247750851846,0.03040602262076208,0.16419361255787038,0.6618482394626847,0.13530421120877792,3671.581918221933,5.978727630437904,6.018518518518518,-67.41319308561437,-29.757609423469095,0.4174872404999203,0.7916666666666666,6.831147352854411,2.311590164899826,0.954757062062897,11548236.355324075,5139.2578125,0.004099926756477424,8.268922264929172,0.23076371762899825,11.483607203872115
1,Coping,1,104.0,0.019129863705995037,0.006996371229666523,0.001789232642324858,0.0003933420349164598,0.004066972111265154,0.4807334201280461,0.09265526968032815,0.04553279433139535,0.5660617252421933,0.21138400525547738,1224.414299614485,8.73163797134577,13.944186046511629,-26.762470092773437,-26.23507011413574,0.6001133648333726,0.023255813953488372,9.256066178833997,2.7615674402978687,1.2899656013000844,4469414.411627907,811.8518350290698,0.02758720678353119,7.741605206423028,0.34884713369226733,15.605809364762417
2,Coping,2,104.0,0.022048895466912993,0.0074325450030047185,0.001745925175545867,0.0005142545017892993,0.004184726856887167,0.4829076335873715,0.10066510683228803,0.05065861191860465,0.5547333056150481,0.2075962715024172,1426.3487891618595,9.638852303804354,13.841860465116278,-26.797327461242677,-26.261432876586912,0.5355605730943591,0.018604651162790697,9.638349927474405,2.7943444675374254,1.1898548051368358,4481680.613953488,1050.5198492005813,0.0307496806790749,7.799083842787632,0.31433274497299696,16.13681222339009
3,Coping,3,104.0,0.022124028340773226,0.007176780837552441,0.0020738860951462776,0.0006673130299330094,0.004266883091919159,0.4842249457206991,0.1005929315859383,0.05296043113425926,0.5454035669013306,0.20354827650374285,1560.6945143099185,11.065578390602711,14.949074074074074,-26.544073377336776,-26.402670490498444,0.45492034888377897,0.027777777777777776,9.048986479088112,2.884601369638134,1.1524431723411437,4470896.472800926,1111.95068359375,0.030823698158470775,7.850339783562554,0.286442321587216,16.37518521149953
4,Coping,4,103.0,0.024716665254645914,0.004034468764439225,0.0014368101301992875,0.0001924116936712634,0.003547532636628941,0.4864538123441297,0.09049601528880208,0.055207576308139536,0.5445805483952512,0.18880286774663038,1732.738160741052,6.939795809013899,11.753488372093024,-27.673536262512208,-25.820759468078613,0.5341038803259531,0.009302325581395349,9.869887287969943,2.7360469069745808,1.2192746714104055,4161838.037209302,1303.2094840116279,0.02925464433921111,7.868261051177979,0.24554495179029398,16.54085968150649
5,Coping,5,154.0,0.03653146903718237,0.0050506434205724576,0.0016556269091250765,0.00020533807458610512,0.00419426514756281,0.4838165660237157,0.11178873829370321,0.05199400436046512,0.5652581199830354,0.19351376613905263,1519.0272405580033,8.578565483315046,13.483720930232558,-26.216051330566405,-26.239167098999022,0.6055408643784924,0.004651162790697674,9.184459568184113,2.8305858418206187,1.2693194533503334,4013208.5674418607,1288.1863190406978,0.042225926059709734,7.798032938047897,0.3109080246194851,15.978375244140626
6,Coping,6,90.0,0.008754371491064646,0.006505318496406458,0.0017908704752766494,0.0005701735737804685,0.003965378695822976,0.4801177277609154,0.07814800509907029,0.05243372034143518,0.5562389494368324,0.1913617139130279,1218.1650136311848,9.1343197480396,13.231481481481481,-27.92205249786377,-27.247017631530763,0.5502646198427236,0.0,9.77273800196471,2.7366270042128034,1.1036878912537187,5147474.434027778,824.84130859375,0.017094221048022586,7.863956179883745,0.4323081269998241,15.922664648956722
7,Coping,7,90.0,0.03443459743785477,0.015053946788823448,0.00013821636369748587,2.942780202436135e-05,0.006399370832801904,0.4511545001074325,0.040544757875072404,0.01530250726744186,0.5425667915233346,0.5462149353567944,417.6136913920558,6.398515206714009,5.186046511627907,-25.370136528015138,-24.356991653442382,0.4265197018782298,0.009302325581395349,11.579919046825832,2.101792194777065,7.655753888085831,2019923.5835755814,295.35542332848837,0.048069555030832455,5.521572097512179,0.4056941768977531,16.291861449840457
8,Coping,8,90.0,0.031680557092781676,0.013040981414662891,6.9515540348848966e-06,2.9282153230851762e-08,0.00624343364196288,0.36160059687356616,0.04692864363449951,0.005128088662790698,0.5535783957603366,0.7991827662601028,173.7581679942996,4.818445097568423,3.3813953488372093,-25.462173805236816,-24.65597049713135,0.36987980865986547,0.0,12.336945810050608,2.007254153768593,16.60548053785812,632667.4056322675,182.78184047965115,0.0417607985913407,4.267506591663804,0.3438184883705405,16.4941797034685
9,Coping,9,77.0,0.03232200051381908,0.022602734272368252,0.00018341323336464095,8.161785216534126e-07,0.007115808031004336,0.41203791047963834,0.02503883394227294,0.007475676359953704,0.6257337753971418,0.6844031897683939,221.79366295425982,8.257452823497632,6.402777777777778,-23.934474372863768,-24.2322456741333,0.4268629981411828,0.0,11.952679347108912,2.0299797179522336,14.249363525046242,794490.5445240162,242.547607421875,0.05248235262654446,4.716774113752224,0.6215031650262298,14.029220611960799
